AERONET_Database_Site_List,Num=0,Date_Generated=23:08:2023,Months_Available_for_Year,2023
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Dalanzadgad,104.419167,43.577222,1470.000000,1,1,1,1,1,1,1,1,0,0,0,0
Venise,12.508300,45.313900,10.000000,1,1,1,0,0,0,0,0,0,0,0,0
Izana,-16.499060,28.309320,2401.000000,1,1,1,1,1,1,1,1,0,0,0,0
Teide,-16.639000,28.270000,3555.000000,0,0,1,1,1,1,1,1,0,0,0,0
Sioux_Falls,-96.625991,43.736481,505.000000,1,1,1,1,1,1,1,1,0,0,0,0
Egbert,-79.781414,44.231543,264.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ispra,8.626700,45.803050,235.000000,1,1,1,1,1,1,1,1,0,0,0,0
Mainz,8.300000,49.999000,150.000000,1,1,1,1,1,1,1,1,0,0,0,0
Brookhaven,-72.884700,40.866000,37.000000,1,1,1,1,1,1,1,1,0,0,0,0
Saturn_Island,-123.128177,48.775252,193.000000,1,0,1,1,1,1,1,1,0,0,0,0
Ilorin,4.674500,8.484100,400.000000,1,1,1,1,1,0,0,0,0,0,0,0
Dongsha_Island,116.728833,20.698556,5.000000,0,1,1,1,1,1,1,1,0,0,0,0
Arica,-70.313333,-18.471667,25.000000,0,0,1,1,1,1,1,1,0,0,0,0
MCO-Hanimaadhoo,73.183183,6.776350,13.000000,1,1,1,1,1,1,1,1,0,0,0,0
NASA_LaRC,-76.378640,37.104960,5.000000,1,1,1,1,1,1,1,1,0,0,0,0
Pickle_Lake,-90.217500,51.449444,393.000000,1,1,1,1,1,1,1,1,0,0,0,0
IMAA_Potenza,15.723700,40.601254,770.000000,0,1,0,0,0,1,1,1,0,0,0,0
Skukuza,31.587500,-24.991700,265.000000,1,0,1,1,1,1,0,1,0,0,0,0
TABLE_MOUNTAIN_CA,-117.680000,34.380000,2200.000000,1,1,1,0,0,0,1,1,0,0,0,0
Mexico_City,-99.181667,19.333611,2268.000000,1,1,1,1,1,1,1,1,0,0,0,0
Rimrock,-116.991667,46.487500,824.000000,1,1,1,1,1,1,1,1,0,0,0,0
Mont_Joli,-68.156000,48.640000,30.000000,1,1,1,1,1,1,1,1,0,0,0,0
Palaiseau,2.215000,48.711600,156.000000,1,1,1,1,1,1,1,1,0,0,0,0
Paris,2.355508,48.846797,50.000000,1,1,1,1,1,1,1,1,0,0,0,0
Moldova,28.815600,47.000800,205.000000,1,1,1,1,1,1,1,1,0,0,0,0
MD_Science_Center,-76.612052,39.281230,15.000000,0,0,0,1,1,1,1,1,0,0,0,0
CEILAP-BA,-58.506411,-34.555425,26.000000,1,1,1,1,1,1,1,1,0,0,0,0
Anmyon,126.330194,36.538537,47.000000,1,1,1,1,1,1,1,1,0,0,0,0
IMS-METU-ERDEMLI,34.255000,36.565000,3.000000,0,0,0,1,1,1,1,1,0,0,0,0
El_Arenosillo,-6.733472,37.105000,59.000000,1,1,1,1,1,1,1,1,0,0,0,0
Kyiv,30.496667,50.363611,200.000000,1,1,1,1,1,1,1,1,0,0,0,0
Churchill,-93.818167,58.736000,10.000000,0,0,0,0,1,1,1,1,0,0,0,0
Hamburg,9.973333,53.568333,120.000000,1,1,0,0,1,1,1,1,0,0,0,0
Modena,10.945278,44.631667,56.000000,1,1,1,1,1,1,1,1,0,0,0,0
La_Parguera,-67.045383,17.970450,12.400000,1,1,1,1,1,1,1,1,0,0,0,0
Rio_Branco,-67.869350,-9.957467,212.000000,0,0,1,0,0,0,0,0,0,0,0,0
Lampedusa,12.631667,35.516667,45.000000,1,1,1,1,1,1,1,1,0,0,0,0
Maun_Tower,23.550000,-19.900000,951.000000,1,1,1,0,0,1,1,1,0,0,0,0
Osaka,135.590633,34.650933,50.000000,1,1,1,1,1,1,1,1,0,0,0,0
Shirahama,135.356917,33.693450,10.000000,0,1,1,1,1,1,1,1,0,0,0,0
Kanpur,80.231639,26.512778,123.000000,1,1,1,1,1,0,1,1,0,0,0,0
Billerica,-71.268619,42.528347,82.000000,1,1,1,1,1,1,1,1,0,0,0,0
Minsk,27.601000,53.920000,235.000000,1,1,1,1,1,1,1,1,0,0,0,0
Beijing,116.381370,39.976890,92.000000,1,1,1,1,1,1,1,1,0,0,0,0
Kuopio,27.633606,62.892414,105.000000,0,1,1,1,1,1,1,1,0,0,0,0
Seoul_SNU,126.951111,37.458056,116.000000,1,1,1,1,1,1,1,1,0,0,0,0
Rome_Tor_Vergata,12.647333,41.839550,130.000000,1,1,1,1,0,0,0,0,0,0,0,0
Gosan_SNU,126.161667,33.292222,72.000000,1,1,1,1,1,1,1,1,0,0,0,0
CUIABA-MIRANDA,-56.070860,-15.730910,210.000000,1,1,1,1,1,1,1,1,0,0,0,0
XiangHe,116.961500,39.753600,36.000000,1,1,1,1,1,1,1,1,0,0,0,0
Noto,137.136944,37.334444,200.000000,0,0,1,1,1,0,1,1,0,0,0,0
Leipzig,12.435278,51.352500,125.000000,0,0,1,1,1,1,1,1,0,0,0,0
Railroad_Valley,-115.691000,38.497000,1437.000000,1,1,1,1,1,1,1,1,0,0,0,0
Davos,9.843690,46.812810,1589.000000,1,1,1,1,1,1,1,1,0,0,0,0
Pic_du_midi,0.141300,42.937217,2898.000000,0,0,0,0,0,1,1,1,0,0,0,0
CCNY,-73.949036,40.821313,100.000000,1,1,1,1,1,1,1,1,0,0,0,0
Jabiru,132.893100,-12.660700,30.000000,1,1,1,1,1,1,1,1,0,0,0,0
Lake_Argyle,128.748500,-16.108100,150.000000,1,0,0,0,1,1,1,1,0,0,0,0
Munich_University,11.573000,48.148000,533.000000,1,1,1,1,1,1,1,1,0,0,0,0
Lecce_University,18.111389,40.335111,30.000000,1,1,1,1,1,1,1,1,0,0,0,0
London-UCL-UAO,-0.131101,51.524270,46.605000,1,1,1,0,0,0,0,0,0,0,0,0
Taipei_CWB,121.538370,25.014683,26.000000,1,0,0,0,0,0,0,0,0,0,0,0
Chen-Kung_Univ,120.204664,22.993419,50.000000,1,1,1,1,1,1,1,1,0,0,0,0
Monterey,-121.854867,36.592550,50.000000,1,1,1,1,1,1,1,1,0,0,0,0
Belsk,20.791667,51.836667,190.000000,1,1,1,1,1,1,1,1,0,0,0,0
Fresno,-119.773167,36.781733,97.000000,0,1,0,0,1,0,1,0,0,0,0,0
Toravere,26.466823,58.264895,85.000000,1,1,1,1,1,1,1,1,0,0,0,0
Andenes,16.008611,69.278333,379.000000,0,0,0,1,1,1,1,1,0,0,0,0
Halifax,-63.594000,44.638000,65.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ji_Parana_UNIR,-61.968600,-10.882212,175.000000,1,1,1,1,1,1,1,1,0,0,0,0
Palencia,-4.515694,41.988572,750.000000,1,1,1,1,1,1,1,1,0,0,0,0
Amsterdam_Island,77.571946,-37.799544,49.000000,1,1,1,1,1,1,1,1,0,0,0,0
Palgrunden,13.151500,58.755333,49.000000,0,0,0,0,1,1,1,1,0,0,0,0
Bac_Lieu,105.730000,9.280000,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Kellogg_LTER,-85.371717,42.407983,293.000000,1,1,1,1,1,1,1,1,0,0,0,0
Cabauw,4.927000,51.971000,-0.700000,0,0,1,0,0,0,0,0,0,0,0,0
Toulon,6.009444,43.135556,50.000000,1,1,1,1,1,1,1,1,0,0,0,0
Dunkerque,2.368117,51.035350,5.000000,1,1,1,1,1,1,1,1,0,0,0,0
Evora,-7.911500,38.567833,293.000000,1,1,1,1,1,1,1,1,0,0,0,0
Sao_Martinho_SONDA,-53.823444,-29.443333,489.000000,1,1,1,1,1,1,0,1,0,0,0,0
Petrolina_SONDA,-40.320108,-9.069100,381.000000,0,0,1,0,0,0,0,0,0,0,0,0
Hyytiala,24.295892,61.846447,191.000000,0,0,0,1,1,1,1,1,0,0,0,0
MVCO,-70.566700,41.325000,10.000000,1,1,1,1,1,1,1,1,0,0,0,0
Laegeren,8.364352,47.478349,763.000000,0,1,1,1,1,1,1,1,0,0,0,0
Los_Alamos,-106.326067,35.873583,2290.000000,0,0,0,0,0,0,1,1,0,0,0,0
Cabo_da_Roca,-9.497667,38.781722,136.000000,1,1,1,1,1,1,1,1,0,0,0,0
Messina,15.566833,38.197500,15.000000,1,1,1,1,1,1,1,1,0,0,0,0
Gwangju_GIST,126.843139,35.228278,52.000000,1,1,1,1,1,1,1,1,0,0,0,0
Thessaloniki,22.960000,40.630000,60.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ames,-93.774778,42.021361,338.000000,1,1,1,1,1,1,1,1,0,0,0,0
IER_Cinzana,-5.933867,13.278433,285.000000,1,1,1,1,1,1,1,1,0,0,0,0
Granada,-3.605000,37.164000,680.000000,1,1,1,1,1,1,1,1,0,0,0,0
Saada,-8.155830,31.625830,420.000000,0,1,1,1,0,0,0,0,0,0,0,0
Resolute_Bay,-94.969409,74.705123,35.000000,0,0,0,0,0,1,1,0,0,0,0,0
Santa_Cruz_Tenerife,-16.247361,28.472528,52.000000,1,1,1,1,1,1,1,1,0,0,0,0
Cape_San_Juan,-65.619900,18.384500,15.000000,1,1,1,1,1,1,1,1,0,0,0,0
Gustav_Dalen_Tower,17.466830,58.594170,25.000000,0,0,0,0,1,1,1,1,0,0,0,0
Hornsund,15.540280,77.001480,12.440000,0,0,1,1,1,1,1,1,0,0,0,0
Fort_McMurray,-111.476139,56.752306,360.000000,0,0,1,0,1,1,1,1,0,0,0,0
OHP_OBSERVATOIRE,5.710000,43.935000,680.000000,1,1,1,1,1,1,1,1,0,0,0,0
Birdsville,139.345960,-25.898930,46.500000,1,0,0,0,0,0,0,0,0,0,0,0
Red_Mountain_Pass,-107.710917,37.907449,3376.000000,0,0,0,1,1,1,1,1,0,0,0,0
Chilbolton,-1.436980,51.144460,88.000000,1,1,1,1,1,1,1,0,0,0,0,0
Trelew,-65.308611,-43.249806,15.000000,1,1,1,1,1,1,1,1,0,0,0,0
CEILAP-RG,-69.319250,-51.600503,19.000000,0,1,1,1,1,1,1,1,0,0,0,0
Hong_Kong_PolyU,114.179722,22.303333,30.000000,1,1,1,1,1,1,0,1,0,0,0,0
ICIPE-Mbita,34.206062,-0.431525,1152.000000,1,1,1,1,1,1,1,1,0,0,0,0
La_Paz,-68.066467,-16.539000,3439.000000,1,1,1,1,1,1,1,1,0,0,0,0
Tamanrasset_INM,5.530000,22.790000,1377.000000,1,1,1,1,1,1,1,1,0,0,0,0
Tudor_Hill,-64.879000,32.264000,51.000000,1,1,1,1,1,1,1,1,0,0,0,0
Lulin,120.873611,23.468611,2868.000000,1,1,1,1,1,1,1,1,0,0,0,0
Gandhi_College,84.127944,25.871000,60.000000,1,1,1,1,1,1,1,1,0,0,0,0
Chapais,-74.975400,49.822433,373.440000,1,1,1,1,1,1,1,1,0,0,0,0
EPA-NCU,121.185483,24.967533,144.000000,1,1,1,1,1,1,1,1,0,0,0,0
Brussels,4.350000,50.783332,120.000000,0,1,1,1,1,1,0,0,0,0,0,0
Univ_of_Houston,-95.341600,29.717700,65.000000,1,1,1,1,1,1,1,1,0,0,0,0
Mount_Chacaltaya,-68.131500,-16.350139,5233.000000,1,1,1,1,1,1,1,0,0,0,0,0
Karachi,67.135940,24.945740,49.000000,1,1,1,1,1,1,0,0,0,0,0,0
Thompson_Farm,-70.948344,43.108772,26.000000,1,1,1,1,1,1,1,1,0,0,0,0
Singapore,103.780383,1.297667,30.000000,1,1,1,1,1,1,1,1,0,0,0,0
White_Sands_HELSTF,-106.338072,32.634942,1207.240000,1,1,1,1,1,1,1,1,0,0,0,0
Lahore,74.264060,31.479870,209.000000,1,1,1,1,1,1,1,1,0,0,0,0
Sodankyla,26.629570,67.366620,184.000000,0,0,0,0,0,1,1,1,0,0,0,0
SANTA_CRUZ_UTEPSA,-63.200961,-17.767325,432.000000,1,1,1,1,0,1,1,0,0,0,0,0
Eilat,34.917500,29.502500,15.000000,0,0,0,1,1,1,0,1,0,0,0,0
USDA-Howard,-76.877500,39.054200,52.800000,0,0,1,0,0,0,0,0,0,0,0,0
Thule,-68.769001,76.516102,225.000000,0,0,1,1,1,1,1,1,0,0,0,0
OPAL,-85.939167,79.990278,5.000000,0,0,0,1,1,1,1,1,0,0,0,0
NASA_Ames,-122.056969,37.419986,10.000000,1,1,1,1,1,1,1,0,0,0,0,0
Burjassot,-0.420200,39.507000,104.000000,1,1,1,1,1,1,1,1,0,0,0,0
La_Laguna,-16.321111,28.481944,568.000000,1,1,1,1,1,1,1,1,0,0,0,0
Silpakorn_Univ,100.041183,13.819308,72.000000,1,1,1,1,1,1,1,1,0,0,0,0
Chiang_Mai_Met_Sta,98.972467,18.771125,312.000000,1,0,1,1,0,1,1,0,0,0,0,0
Songkhla_Met_Sta,100.604583,7.184387,15.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ragged_Point,-59.432035,13.165018,40.000000,1,1,1,1,1,1,1,1,0,0,0,0
Issyk-Kul,76.983056,42.622778,1650.000000,1,1,1,1,1,1,1,1,0,0,0,0
South_Pole_Obs_NOAA,70.300000,-90.000000,2835.000000,1,1,0,0,0,0,0,0,0,0,0,0
Marambio,-56.625244,-64.239996,200.000000,1,1,1,1,1,0,0,1,0,0,0,0
Kangerlussuaq,-50.621400,66.995800,320.000000,0,1,1,1,1,1,1,1,0,0,0,0
Bozeman,-111.045013,45.662204,1507.000000,1,1,1,1,1,1,1,1,0,0,0,0
Kanzelhohe_Obs,13.901269,46.677232,1526.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ersa,9.359289,43.003669,80.000000,1,1,1,1,1,1,1,0,0,0,0,0
Helsinki,24.960650,60.203733,52.800000,1,1,1,1,1,1,1,1,0,0,0,0
Camaguey,-77.849900,21.422300,122.000000,1,1,1,1,0,0,0,0,0,0,0,0
Dayton,-84.109618,39.775977,243.000000,1,1,1,1,1,1,1,1,0,0,0,0
Arcachon,-1.163222,44.663528,11.000000,1,1,1,1,1,1,1,0,0,0,0,0
Vechernaya_Hill,46.158000,-67.660000,80.000000,1,1,1,0,0,0,0,0,0,0,0,0
Ubon_Ratchathani,104.871011,15.245518,120.000000,1,1,1,1,1,1,1,1,0,0,0,0
Utsteinen,23.333333,-71.950000,1396.000000,1,1,0,0,0,0,0,0,0,0,0,0
Jaipur,75.806217,26.905817,450.000000,0,0,0,0,0,1,0,0,0,0,0,0
Yellowknife_Aurora,-114.376250,62.451300,220.800000,1,1,1,1,1,1,1,1,0,0,0,0
Birkenes,8.252310,58.388450,230.000000,1,1,1,1,1,1,1,1,0,0,0,0
Bandung,107.610000,-6.888417,826.000000,1,1,1,1,1,1,1,1,0,0,0,0
Zinder_Airport,8.990233,13.776683,456.000000,1,1,1,1,1,1,1,1,0,0,0,0
LISCO,-73.341767,40.954517,12.000000,1,1,1,1,1,1,0,1,0,0,0,0
UMBC,-76.709353,39.254628,79.000000,0,0,0,0,0,1,1,1,0,0,0,0
Univ_of_Lethbridge,-112.868967,49.681672,904.000000,1,1,1,1,1,1,1,1,0,0,0,0
Kelowna_UAS,-119.400111,49.941294,456.000000,0,1,1,1,1,1,1,1,0,0,0,0
NCAR,-105.242770,40.037530,1622.000000,1,1,1,1,1,1,1,1,0,0,0,0
Eforie,28.632222,44.075000,40.000000,0,1,1,1,1,1,1,0,0,0,0,0
IASBS,48.507111,36.705167,1805.000000,1,1,1,1,0,0,0,0,0,0,0,0
QOMS_CAS,86.948056,28.365000,4276.000000,1,1,0,0,0,1,0,0,0,0,0,0
Lucinda,146.386100,-18.519800,8.000000,1,1,1,1,1,1,1,1,0,0,0,0
ND_Marbel_Univ,124.842531,6.496011,70.000000,1,1,1,1,1,1,1,1,0,0,0,0
Goldstone,-116.791667,35.233333,1100.000000,1,1,0,0,0,0,0,0,0,0,0,0
Pokhara,83.975180,28.186643,800.000000,1,1,1,1,1,1,1,1,0,0,0,0
Baengnyeong,124.630278,37.966111,136.000000,1,0,0,0,0,0,0,0,0,0,0,0
CalTech,-118.126167,34.136730,260.000000,1,1,1,1,1,1,1,1,0,0,0,0
CUT-TEPAK,33.042750,34.674806,22.000000,1,1,1,1,1,1,1,1,0,0,0,0
Dushanbe,68.857911,38.553264,821.000000,1,1,0,1,1,1,1,1,0,0,0,0
Appalachian_State,-81.693800,36.214600,1080.000000,1,1,1,1,1,1,1,1,0,0,0,0
Aubiere_LAMP,3.111072,45.760960,423.000000,1,1,1,1,1,1,1,1,0,0,0,0
CLUJ_UBB,23.551389,46.768333,405.000000,1,1,1,1,1,1,1,1,0,0,0,0
Timisoara,21.227360,45.746260,122.000000,1,1,1,1,1,1,1,1,0,0,0,0
NGHIA_DO,105.799640,21.047780,40.000000,1,1,1,1,1,1,1,1,0,0,0,0
USC_SEAPRISM,-118.117820,33.563710,31.000000,1,1,1,1,0,1,1,1,0,0,0,0
Tabernas_PSA-DLR,-2.358180,37.090760,500.000000,1,1,1,1,1,1,1,1,0,0,0,0
Yonsei_University,126.934790,37.564430,97.000000,1,1,1,1,1,1,1,1,0,0,0,0
Georgia_Tech,-84.399537,33.780202,294.000000,1,1,1,1,1,1,1,1,0,0,0,0
Montsec,0.729689,42.051417,1574.000000,1,1,1,1,1,1,1,1,0,0,0,0
Key_Biscayne2,-80.163330,25.731966,0.000000,1,0,0,0,0,0,0,0,0,0,0,0
Palma_de_Mallorca,2.625100,39.553300,10.000000,1,1,1,1,1,1,1,1,0,0,0,0
Magurele_Inoe,26.030703,44.348292,90.000000,1,1,1,1,1,1,1,1,0,0,0,0
Grand_Forks,-97.325450,47.911750,268.000000,1,1,1,1,1,1,1,1,0,0,0,0
USM_Penang,100.302310,5.358380,51.000000,1,1,1,1,1,1,1,1,0,0,0,0
Chiba_University,140.103800,35.624700,60.000000,1,1,1,1,1,1,1,1,0,0,0,0
Sandia_NM_PSEL,-106.540069,35.054583,1662.500000,0,1,1,1,1,1,1,0,0,0,0,0
Fresno_2,-119.773020,36.785370,100.000000,1,1,1,1,1,1,1,1,0,0,0,0
Univ_of_Nevada-Reno,-119.814033,39.540867,1410.000000,0,1,1,1,1,1,1,1,0,0,0,0
Coruna,-8.420800,43.363000,67.000000,1,1,1,1,1,1,1,1,0,0,0,0
Cairo_EMA_2,31.290067,30.080767,70.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_CVALLA,-105.167250,40.160630,1539.000000,1,1,1,1,1,1,1,1,0,0,0,0
Luang_Namtha,101.416200,20.931100,557.000000,1,1,1,1,1,1,1,1,0,0,0,0
KAUST_Campus,39.102833,22.304833,11.200000,1,1,1,1,1,1,1,1,0,0,0,0
Tai_Ping,114.362000,10.375500,4.000000,0,0,1,1,1,1,1,1,0,0,0,0
Madrid,-3.723950,40.451900,680.000000,1,1,1,1,1,1,1,1,0,0,0,0
Bayfordbury,-0.096240,51.776320,75.000000,1,1,1,1,1,1,1,0,0,0,0,0
Iasi_LOASL,27.555556,47.193056,175.000000,1,1,1,1,1,0,0,0,0,0,0,0
U_of_Wisconsin_SSEC,-89.411354,43.072492,330.000000,0,0,1,1,1,1,1,1,0,0,0,0
Bhola,90.756415,22.226675,7.000000,1,1,1,1,1,1,1,0,0,0,0,0
Jambi,103.641563,-1.632445,30.000000,1,1,1,1,1,1,1,1,0,0,0,0
Pontianak,109.190860,0.075380,2.000000,1,1,1,1,1,1,1,1,0,0,0,0
Zaragoza,-0.882350,41.633400,250.000000,1,1,1,1,1,1,1,1,0,0,0,0
Dhaka_University,90.398190,23.728390,34.000000,1,1,1,1,1,1,1,1,0,0,0,0
Lake_Lefroy,121.705000,-31.255000,300.000000,1,1,1,1,1,1,1,0,0,0,0,0
FZJ-JOYCE,6.413056,50.908333,111.000000,1,0,0,1,1,1,1,1,0,0,0,0
Badajoz,-7.010820,38.882808,186.000000,0,0,1,1,1,1,1,1,0,0,0,0
Gangneung_WNU,128.867000,37.771000,60.000000,1,1,1,1,1,1,1,1,0,0,0,0
Hankuk_UFS,127.265820,37.338830,167.000000,1,1,1,1,1,1,1,1,0,0,0,0
Fukuoka,130.475000,33.524000,30.000000,1,0,1,1,1,1,1,1,0,0,0,0
Valladolid,-4.705830,41.663600,705.000000,1,1,1,1,1,1,1,1,0,0,0,0
Medellin,-75.577914,6.260672,1471.000000,0,0,1,1,1,1,1,1,0,0,0,0
Murcia,-1.170700,38.001000,69.000000,1,1,1,1,1,1,1,1,0,0,0,0
UH_Coastal_Center,-95.042500,29.388300,5.000000,1,1,1,1,1,1,1,1,0,0,0,0
Beijing-CAMS,116.316670,39.933330,106.000000,1,1,1,1,1,1,1,1,0,0,0,0
MetObs_Lindenberg,14.120870,52.209275,120.000000,1,1,1,1,1,1,1,0,0,0,0,0
Ben_Salem,9.914003,35.550550,130.000000,0,0,0,0,0,1,1,1,0,0,0,0
Heng-Chun,120.699500,22.054742,25.000000,0,1,0,0,0,0,0,0,0,0,0,0
HohenpeissenbergDWD,11.011900,47.801900,989.680000,1,1,1,1,1,1,1,1,0,0,0,0
Fowlers_Gap,141.700820,-31.086300,181.000000,0,0,0,1,1,1,1,1,0,0,0,0
Santa_Monica_Colg,-118.471130,34.016850,55.000000,1,1,1,1,1,1,1,1,0,0,0,0
Beijing_RADI,116.378600,40.004800,59.000000,1,0,1,1,1,1,1,1,0,0,0,0
Galata_Platform,28.193190,43.044624,31.000000,1,1,1,1,1,1,1,1,0,0,0,0
IMPROVE-MammothCave,-86.147900,37.131800,235.000000,1,1,1,1,1,1,1,1,0,0,0,0
St_Louis_University,-90.231552,38.636342,159.000000,1,1,1,1,0,0,1,1,0,0,0,0
Mingo,-90.143200,36.971700,111.000000,0,1,1,1,1,1,1,1,0,0,0,0
EPA-Res_Triangle_Pk,-78.870000,35.880000,109.000000,1,1,1,1,1,1,1,1,0,0,0,0
SP_Bayboro,-82.633000,27.761550,5.000000,1,1,1,1,1,1,1,1,0,0,0,0
Tunis_Carthage,10.199781,36.838719,10.000000,1,1,1,1,1,1,1,1,0,0,0,0
Narsarsuaq,-45.419379,61.155952,75.000000,1,1,1,1,1,1,1,1,0,0,0,0
Tallahassee,-84.299350,30.445833,49.000000,0,1,0,0,0,1,1,1,0,0,0,0
CEILAP-Comodoro,-67.462875,-45.792153,49.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_Sterling,-103.029297,40.461903,1372.000000,0,0,0,1,1,1,1,1,0,0,0,0
Strzyzow,21.861300,49.878600,450.000000,1,1,1,1,1,1,1,1,0,0,0,0
ARM_Graciosa,-28.029170,39.091090,15.200000,1,1,1,1,1,1,1,1,0,0,0,0
IAOCA-KRSU,78.528950,42.463830,1930.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON-CPER,-104.744238,40.812444,1655.000000,1,1,1,1,1,1,1,1,0,0,0,0
Ieodo_Station,125.182447,32.122953,29.000000,0,0,0,0,1,0,0,0,0,0,0,0
LAQUILA_Coppito,13.350636,42.368386,656.000000,1,1,1,1,0,1,1,1,0,0,0,0
Toulouse_MF,1.374320,43.572610,160.000000,1,1,1,1,1,1,1,1,0,0,0,0
Bujumbura,29.383833,-3.380000,863.000000,0,0,0,0,0,0,1,0,0,0,0,0
CEILAP-Neuquen,-68.136660,-38.952220,271.000000,1,1,1,1,1,1,1,1,0,0,0,0
AOE_Baotou,109.628800,40.851700,1314.000000,0,1,1,1,1,0,1,1,0,0,0,0
Mongu_Inn,23.134333,-15.266667,1040.000000,1,1,0,1,1,1,1,1,0,0,0,0
Karunya_University,76.744100,10.935300,478.000000,1,1,1,1,1,1,0,0,0,0,0,0
Zeebrugge-MOW1,3.120000,51.362000,15.000000,0,0,0,0,1,0,0,0,0,0,0,0
SEGC_Lope_Gabon,11.600820,-0.201550,280.000000,1,1,1,1,1,1,1,0,0,0,0,0
DRAGON_NREL-Golden,-105.177990,39.743725,1833.000000,0,1,0,1,0,0,0,0,0,0,0,0
Finokalia-FKL,25.669762,35.337712,258.000000,1,1,1,1,1,1,1,1,0,0,0,0
American_Samoa,-170.564400,-14.247200,76.000000,1,1,1,1,1,1,1,1,0,0,0,0
Gobabeb,15.041058,-23.561619,405.000000,1,1,1,1,0,0,0,0,0,0,0,0
Medenine-IRA,10.642547,33.499633,33.500000,1,0,1,1,1,1,1,1,0,0,0,0
Easton-MDE,-76.084250,38.794972,4.500000,0,0,0,0,0,0,1,1,0,0,0,0
NEON_Bartlett,-71.287203,44.063881,273.000000,0,0,1,1,1,1,1,1,0,0,0,0
NEON_Harvard,-72.172661,42.536900,348.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON-Disney,-81.436200,28.125039,19.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_OSBS,-81.993431,29.689269,47.000000,1,1,1,1,1,1,0,0,0,0,0,0
USGS_Flagstaff_ROLO,-111.634420,35.214840,2179.600000,1,1,1,1,1,1,1,1,0,0,0,0
Raciborz,18.191700,50.083100,230.000000,0,1,1,1,1,1,1,0,0,0,0,0
Socheongcho,124.738039,37.423133,28.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_RMNP,-105.545972,40.275900,2750.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_SCBI,-78.139500,38.892919,354.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_UNDE,-89.537250,46.233881,520.000000,1,1,1,1,1,1,1,1,0,0,0,0
NEON_OAES,-99.058790,35.410590,523.000000,1,1,1,1,1,1,1,0,0,0,0,0
